Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","10/04/2021 21:53 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H02MqJ
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1956,-,-,Belgium,BEL,65000,0,0,,0,0
1956,-,-,Canada,CAN,17485,0,0,,0,0
1956,-,-,Denmark,DNK,2500,0,0,,0,0
1956,-,-,France,FRA,363290,0,0,,0,0
1956,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,182000,0,0,,0,0
1956,-,-,Germany,DEU,221000,0,0,,0,0
1956,-,-,Greece,GRC,16000,0,0,,0,0
1956,-,-,Italy,ITA,21500,0,0,,0,0
1956,-,-,Luxembourg,LUX,1900,0,0,,0,0
1956,-,-,Netherlands,NLD,13600,0,0,,0,0
1956,-,-,Norway,NOR,2800,0,0,,0,0
1956,-,-,Sweden,SWE,31000,0,0,,0,0
1956,-,-,Switzerland,CHE,20700,0,0,,0,0
1956,-,-,Turkey,TUR,2100,0,0,,0,0
1956,-,-,"United States of America",USA,500000,0,0,,0,0
1956,-,-,"Unknown ",,167100,0,0,,0,0
1957,-,-,Austria,AUT,68000,0,0,,0,0
1957,-,-,Belgium,BEL,69000,0,0,,0,0
1957,-,-,Canada,CAN,46334,0,0,,0,0
1957,-,-,Denmark,DNK,2500,0,0,,0,0
1957,-,-,France,FRA,389480,0,0,,0,0
1957,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,179000,0,0,,0,0
1957,-,-,Germany,DEU,217000,0,0,,0,0
1957,-,-,Greece,GRC,16000,0,0,,0,0
1957,-,-,Italy,ITA,21000,0,0,,0,0
1957,-,-,Luxembourg,LUX,1900,0,0,,0,0
