Country_ISO,Sum of Refugees under UNHCR's mandate,"Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Mortality rate, infant (per 1,000 live births)","Cause of death, by injury (% of total)","Death rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)",GDP per capita (current US$)
PSE,4979234,95.22525318,99.23791034,20.335,,3.764578947,,2358.318428
QAT,961,90.98517054,94.14144135,7.985,21.28094952,1.402210526,1.840555556,59610.43327
ROU,375743,98.24879201,98.72879028,11.61,4.303521773,12.51578947,6.83,7477.748023
RUS,3774267,99.61843363,99.71088409,9.845,9.263323764,14.26315789,9.783684211,8852.063064
RWA,15773721,68.61832581,81.77094269,53.58,10.28064917,8.904842105,1.633333333,543.1193622
SAU,16484,87.99091148,97.57162666,11.16,18.16572576,3.508052632,2.296111111,17729.03992
SDN,19276273,58.52014414,72.3203125,52.2,10.61696888,8.478,1.484444444,1018.373324
SEN,577068,46.075442,59.255078,46.235,10.22887034,7.912263158,0.2,1157.346003
SGP,1285,96.26493988,99.84091949,2.31,4.935166741,4.547368421,2.685000008,43858.16565
SLB,1288,76.59999847,0,21.67,9.984334777,4.834842105,1.665,1623.847946
SLE,4027071,36.81976318,57.19944509,109.79,7.522320134,16.619,0.4,421.3958194
SLV,2367090,85.81813674,96.47375419,17.71,20.52212958,6.838315789,1.015384615,3038.862661
SMR,20,99.91642761,100,2.86,,7.08,3.825,53770.18304
SOM,22757980,0,0,93.44,8.196618898,13.13073684,0.645,
SRB,3706011,97.73371887,99.4617691,7.035,3.390871911,14.10368421,5.503846154,5144.124576
SSD,12271381,30.67701912,42.30161858,76.21,9.646511711,12.74631579,,1432.645916
STP,901,84.35116005,92.53489304,36.075,9.617339323,6.410315789,3.1,1228.884509
SUR,27878,93.22933655,97.79753265,21.125,11.57500184,7.222157895,3.194444434,5856.476282
SVK,12585,0,0,6.09,5.870758667,9.778947368,6.513157895,14588.30177
SVN,77881,99.69999695,99.80000305,2.85,7.612315146,9.373684211,4.724210526,20767.85532
SWE,620,0,0,2.67,4.862398482,9.789473684,2.770526316,48503.08896
SWZ,2019,84.3927892,93.61163584,56.65,10.64081126,15.06010526,2.1,3304.870049
SYC,2094,93.88613129,99.03536987,12.16,8.112478143,7.663157895,4.4,12119.60203
SYR,43917187,81.86638641,93.82131958,17.435,21.45510233,4.448,1.466666667,1464.146607
TCA,142,0,0,0,,,,23146.6626
TCD,3329735,25.58754492,37.19862461,85.135,8.165926322,14.99115789,0.4,682.438196
TGO,889113,58.26298218,79.36090393,59.075,9.200035798,10.592,0.8,509.2547675
THA,13842,93.82034302,97.87025706,12.42,11.34099899,7.215052632,2.15,4596.216018
TIB,1394844,,,,,,,
TJK,895553,99.62534332,99.87353134,41.88,7.922744381,6.153526316,5.572,633.5306012
TKM,21213,99.69999695,99.80000305,41.36,6.953122038,7.322578947,4.431333333,4100.651341
TLS,386824,53.64395237,81.53385544,56.325,7.27477743,7.340157895,5.9,856.1925114
TON,292,99.27278646,99.43430074,14.615,7.134467548,7.091263158,2.650000012,3418.533991
TTO,4660,98.29999924,99.5,20.615,10.08879072,7.824842105,2.84733334,14936.98907
TUN,47437,78.17738342,96.429633,17.355,8.556751646,6.032789474,1.981111111,3517.014466
